news_source,news_title,news_link,news_date
https://mail.ru,Сапарбаев: Руководители школ начали чувствовать себя князьками,https://r.mail.ru/n320977260?&test_id=63&rnd=12156988,23/02/2020
https://mail.ru,Туман накроет почти весь Казахстан,https://r.mail.ru/n320990012?&test_id=63&rnd=12156988,23/02/2020
https://mail.ru,Адвокат осужденных за убийство егеря: Там не было убийства,https://r.mail.ru/n320983288?&test_id=63&rnd=12156988,23/02/2020
https://mail.ru,Одну из школ Петропавловска закрыли на карантин,https://r.mail.ru/n320969526?&test_id=63&rnd=12156988,23/02/2020
https://mail.ru,Водитель внедорожника спровоцировал массовое ДТП в Алматы,https://r.mail.ru/n320972734?&test_id=63&rnd=12156988,23/02/2020
